# swipe-paths v1 — layout qwerty(keyWidth 40, rowHeight 54). Sinh bởi SwipeDecoderTests.kt (SWIPE_WRITE_FIXTURE=1). word<TAB>top1 Kotlin<TAB>x,y;x,y…
toi	toi	174.09,21.09;182.11,19.28;193.89,21.87;206.81,23.04;224.66,20.32;239.47,23.76;257.96,23.79;274.35,22.14;292.84,24.58;307.79,26.29;322.07,25.30;331.16,30.08;341.66,31.55;321.84,34.47;301.85,39.06
khong	khong	317.36,79.29;304.92,83.81;285.12,87.04;263.53,85.77;250.20,90.20;253.34,81.05;262.39,73.96;274.76,65.87;288.58,54.90;300.82,46.88;315.20,33.22;330.77,28.94;341.54,19.79;351.40,17.38;354.31,29.41;345.20,46.13;341.00,57.55;328.59,73.21;317.06,89.00;307.59,103.02;297.80,119.03;291.21,124.01;281.47,131.17;272.47,131.18;258.61,128.53;246.62,122.78;235.87,114.54;220.39,103.93;210.46,95.02;201.23,89.20;193.77,84.35
anh	anh	38.51,101.90;46.73,104.67;58.60,105.08;70.92,105.19;85.50,105.13;101.41,105.60;119.00,110.25;135.12,110.73;154.62,116.16;169.20,120.06;186.38,121.58;202.46,126.55;216.96,128.70;232.78,129.81;245.83,129.55;257.21,129.46;270.78,129.67;283.38,129.28;274.04,116.55;253.38,102.04;236.39,91.24;225.32,85.54
la	la	360.42,71.63;350.69,69.86;337.36,70.31;327.76,75.13;319.37,71.89;306.24,73.09;290.35,73.18;275.29,71.54;257.91,73.72;240.11,71.77;222.93,72.18;206.68,73.82;189.87,75.49;168.52,77.42;155.95,78.51;142.09,78.85;123.71,78.16;108.28,75.22;94.00,77.42;78.24,77.84;65.61,79.33;56.84,79.82;47.67,78.29;38.58,79.95
co	co	160.20,123.67;176.49,116.30;187.87,109.57;197.72,101.56;211.89,93.43;225.11,84.78;242.95,75.84;254.54,68.48;267.93,60.08;283.99,51.74;294.72,42.82;309.04,35.12;321.19,28.39;329.39,24.46;335.64,19.25
ta	ta	194.28,48.24;186.29,46.40;174.87,52.60;159.56,60.89;150.31,62.72;133.73,64.29;117.05,72.55;99.71,81.14;83.03,80.64;67.14,84.67;58.20,88.42;48.85,91.81;39.27,94.37
di	di	129.65,61.76;139.45,62.06;148.86,60.44;163.08,54.23;174.00,54.91;194.60,51.51;208.07,46.24;223.11,44.36;240.28,43.46;254.10,40.69;266.99,35.60;283.95,33.20
cua	cua	151.83,149.11;164.20,139.27;178.05,131.78;194.60,118.80;205.84,108.64;219.47,97.40;234.07,85.95;246.18,75.58;260.48,63.28;266.92,57.18;271.82,49.38;275.80,36.06;262.86,32.86;254.82,33.25;238.63,36.12;226.64,38.93;211.85,38.76;193.69,38.07;176.18,46.76;160.54,48.99;142.72,52.62;124.38,55.45;106.74,57.93;92.28,63.30;75.40,66.21;59.83,70.83;46.90,70.32;38.57,73.59;31.49,74.48
da	da	99.74,71.42;90.00,71.42;78.56,76.66;65.03,81.49;47.10,88.01;35.14,96.16;26.19,96.87
chung	chung	171.41,124.97;191.12,119.47;200.93,113.85;217.86,106.73;233.78,100.70;242.20,93.32;243.63,79.77;252.24,65.04;253.27,48.02;255.25,39.25;262.49,55.82;265.49,68.78;269.68,85.57;275.55,102.53;276.38,119.80;277.90,133.06;268.49,139.06;254.68,131.92;243.64,123.19;226.66,116.42;211.24,105.05;205.88,98.14
